url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping,11,2
/EOL/computer-vision-with-EOL-images,8,6
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging,8,2
/EOL/computer-vision-with-EOL-images/tree/master,7,2
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,5,3
/EOL/computer-vision-with-EOL-images/tree/master/classification_for_image_tagging,5,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping/.archive,3,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging/human_present,3,1
/EOL/computer-vision-with-EOL-images/tree/github-repo-stats,2,2
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping/chiroptera,2,2
