url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,9,1
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/plant_poll_generate_tags_bioclipv2.ipynb,5,1
/EOL/computer-vision-with-EOL-images,4,3
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/flower_generate_tags_yolov8.ipynb,3,1
/EOL/computer-vision-with-EOL-images/tree/master,3,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_cropping/play_for_beginners/squarespace_augment_images.ipynb,2,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_cropping/play_for_beginners/squarespace_yolo.ipynb,1,1
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/dinov3_demo.ipynb,1,1
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/flower_generate_tags_yolov8_demo.ipynb,1,1
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/yolo_demo_v2.ipynb,1,1
