url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,4,4
/EOL/computer-vision-with-EOL-images/discussions,3,2
/EOL/computer-vision-with-EOL-images/discussions/categories/announcements,2,2
/EOL/computer-vision-with-EOL-images/commit/b81c0af123b9331436f853e96586628ede812fc0,2,1
/EOL/computer-vision-with-EOL-images/discussions/4,1,1
/EOL/computer-vision-with-EOL-images/discussions/categories/polls,1,1
/EOL/computer-vision-with-EOL-images/issues,1,1
/EOL/computer-vision-with-EOL-images/pulls,1,1
