time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-09-01 00:00:00+00:00,4,4,0,0
2026-09-02 00:00:00+00:00,1,1,0,0
2026-09-03 00:00:00+00:00,9,3,0,0
2026-09-04 00:00:00+00:00,1,1,0,0
2026-09-05 00:00:00+00:00,3,3,0,0
2026-09-06 00:00:00+00:00,3,3,0,0
2026-09-07 00:00:00+00:00,1,1,1,1
2026-09-08 00:00:00+00:00,1,1,2,2
2026-09-09 00:00:00+00:00,1,1,0,0
2026-09-10 00:00:00+00:00,18,9,0,0
2026-09-11 00:00:00+00:00,11,11,2,2
2026-09-12 00:00:00+00:00,9,9,1,1
2026-09-13 00:00:00+00:00,17,11,2,2
2026-09-14 00:00:00+00:00,17,17,2,1
