url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,7,5
/EOL/computer-vision-with-EOL-images/tree/master,5,2
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging,5,2
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping,4,2
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging/human_present,3,1
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,3,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_tagging/human_present/human_present_generate_tags_yolov8.ipynb,2,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_cropping/chiroptera/chiroptera_generate_crops_tf2.ipynb,1,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_tagging/human_present/human_present_generate_tags_yolov3.ipynb,1,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping/chiroptera,1,1
