time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-29 00:00:00+00:00,28,9,3,3
2026-04-30 00:00:00+00:00,21,7,4,4
2026-05-01 00:00:00+00:00,37,8,3,3
2026-05-02 00:00:00+00:00,55,15,7,7
2026-05-03 00:00:00+00:00,21,6,6,6
2026-05-04 00:00:00+00:00,7,2,0,0
2026-05-05 00:00:00+00:00,39,10,1,1
2026-05-06 00:00:00+00:00,9,4,0,0
2026-05-07 00:00:00+00:00,6,6,0,0
2026-05-08 00:00:00+00:00,16,6,6,1
2026-05-09 00:00:00+00:00,22,8,2,1
2026-05-10 00:00:00+00:00,2,2,1,1
2026-05-11 00:00:00+00:00,28,5,1,1
2026-05-12 00:00:00+00:00,12,7,0,0
