url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,8,6
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping,8,1
/EOL/computer-vision-with-EOL-images/tree/master/classification_for_image_tagging,5,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging,4,1
/EOL/computer-vision-with-EOL-images/wiki,3,3
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,3,2
/EOL/computer-vision-with-EOL-images/tree/master,3,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping/.archive,3,1
/EOL/computer-vision-with-EOL-images/tree/github-repo-stats,2,2
/EOL/computer-vision-with-EOL-images/commits,2,1
