url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,8,8
/EOL/computer-vision-with-EOL-images/discussions,6,5
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_tagging/flower_fruit/flower_fruit_generate_tags_yolov8.ipynb,6,1
/EOL/computer-vision-with-EOL-images/pulls,2,2
/EOL/computer-vision-with-EOL-images/discussions/categories/announcements,1,1
/EOL/computer-vision-with-EOL-images/discussions/categories/polls,1,1
/EOL/computer-vision-with-EOL-images/issues,1,1
/EOL/computer-vision-with-EOL-images/tree/master,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Flowers/_history,1,1
