time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-06-10 00:00:00+00:00,8,4,0,0
2026-06-11 00:00:00+00:00,17,6,1,1
2026-06-12 00:00:00+00:00,1,1,6,1
2026-06-13 00:00:00+00:00,21,7,0,0
2026-06-14 00:00:00+00:00,29,10,2,2
2026-06-15 00:00:00+00:00,16,7,0,0
2026-06-16 00:00:00+00:00,17,5,0,0
2026-06-17 00:00:00+00:00,17,7,0,0
2026-06-18 00:00:00+00:00,24,10,0,0
2026-06-19 00:00:00+00:00,32,8,0,0
2026-06-20 00:00:00+00:00,39,10,0,0
2026-06-21 00:00:00+00:00,25,6,0,0
2026-06-22 00:00:00+00:00,30,8,2,1
2026-06-23 00:00:00+00:00,41,11,0,0
