time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-07-16 00:00:00+00:00,252,8,1,1
2026-07-17 00:00:00+00:00,20,7,1,1
2026-07-18 00:00:00+00:00,15,6,0,0
2026-07-19 00:00:00+00:00,15,6,0,0
2026-07-20 00:00:00+00:00,2,2,0,0
2026-07-21 00:00:00+00:00,26,9,0,0
2026-07-22 00:00:00+00:00,1,1,0,0
2026-07-23 00:00:00+00:00,13,4,1,1
2026-07-24 00:00:00+00:00,14,9,1,1
2026-07-25 00:00:00+00:00,19,6,0,0
2026-07-26 00:00:00+00:00,24,11,0,0
2026-07-27 00:00:00+00:00,34,13,13,1
2026-07-28 00:00:00+00:00,12,8,19,1
2026-07-29 00:00:00+00:00,16,7,0,0
