time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-09 00:00:00+00:00,15,6,1,1
2026-04-10 00:00:00+00:00,6,6,1,1
2026-04-11 00:00:00+00:00,4,4,1,1
2026-04-12 00:00:00+00:00,26,8,0,0
2026-04-13 00:00:00+00:00,23,8,0,0
2026-04-14 00:00:00+00:00,12,5,1,1
2026-04-15 00:00:00+00:00,18,6,2,2
2026-04-16 00:00:00+00:00,19,5,1,1
2026-04-17 00:00:00+00:00,10,5,3,3
2026-04-18 00:00:00+00:00,26,9,3,3
2026-04-19 00:00:00+00:00,29,11,6,6
2026-04-20 00:00:00+00:00,44,18,6,6
2026-04-21 00:00:00+00:00,74,27,7,6
2026-04-22 00:00:00+00:00,59,23,0,0
