url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,8,1
/EOL/computer-vision-with-EOL-images/discussions,2,2
/EOL/computer-vision-with-EOL-images/pulls,2,2
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Chiroptera,2,2
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Flowers,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Image-Type,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Multitaxa,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-explanation-with-drawings:--make_square_crops-function,1,1
/EOL/computer-vision-with-EOL-images/wiki/Guide-to-utility-notebooks,1,1
