url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images/pulls,6,4
/EOL/computer-vision-with-EOL-images/issues,4,4
/EOL/computer-vision-with-EOL-images/discussions,3,3
/EOL/computer-vision-with-EOL-images,2,2
/EOL/computer-vision-with-EOL-images/discussions/categories/announcements,2,2
/EOL/computer-vision-with-EOL-images/wiki/Guide-to-utility-notebooks,2,2
/EOL/computer-vision-with-EOL-images/wiki,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Chiroptera,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Flowers,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Flowers-and-Fruits,1,1
