url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,7,6
/EOL/computer-vision-with-EOL-images/wiki,2,2
/EOL/computer-vision-with-EOL-images/tree/master,1,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_cropping,1,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging,1,1
/EOL/computer-vision-with-EOL-images/tree/master/object_detection_for_image_tagging/images,1,1
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,1,1
