url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images/tree/master/play_for_beginners,5,1
/EOL/computer-vision-with-EOL-images,3,3
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/plant_poll_generate_tags_bioclipv2.ipynb,3,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_cropping/play_for_beginners/squarespace_augment_images.ipynb,2,1
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_cropping/play_for_beginners/squarespace_yolo.ipynb,1,1
/EOL/computer-vision-with-EOL-images/blob/master/play_for_beginners/flower_generate_tags_yolov8.ipynb,1,1
/EOL/computer-vision-with-EOL-images/commit/71809f7a76a908caaace5bd2ccd0eb7d1573e200,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Flowers-and-Fruits,1,1
/EOL/computer-vision-with-EOL-images/wiki/Detailed-documentation:-step-by-step-for-Object-Detection-for-Tagging,1,1
