url_path,views_total,views_unique
/EOL/computer-vision-with-EOL-images,9,9
/EOL/computer-vision-with-EOL-images/discussions,8,7
/EOL/computer-vision-with-EOL-images/blob/master/object_detection_for_image_tagging/flower_fruit/flower_fruit_generate_tags_yolov8.ipynb,6,1
/EOL/computer-vision-with-EOL-images/pulls,3,3
/EOL/computer-vision-with-EOL-images/discussions/4,1,1
/EOL/computer-vision-with-EOL-images/discussions/categories/announcements,1,1
/EOL/computer-vision-with-EOL-images/discussions/categories/polls,1,1
/EOL/computer-vision-with-EOL-images/forks,1,1
/EOL/computer-vision-with-EOL-images/issues,1,1
/EOL/computer-vision-with-EOL-images/tree/master,1,1
