time_iso8601,clones_total,clones_unique,views_total,views_unique
2026-04-23 00:00:00+00:00,93,29,1,1
2026-04-24 00:00:00+00:00,63,25,0,0
2026-04-25 00:00:00+00:00,57,28,1,1
2026-04-26 00:00:00+00:00,28,9,0,0
2026-04-27 00:00:00+00:00,3,3,0,0
2026-04-28 00:00:00+00:00,21,7,0,0
2026-04-29 00:00:00+00:00,28,9,3,3
2026-04-30 00:00:00+00:00,21,7,4,4
2026-05-01 00:00:00+00:00,37,8,3,3
2026-05-02 00:00:00+00:00,55,15,7,7
2026-05-03 00:00:00+00:00,21,6,6,6
2026-05-04 00:00:00+00:00,7,2,0,0
2026-05-05 00:00:00+00:00,39,10,1,1
2026-05-06 00:00:00+00:00,9,4,0,0
